Age,kmDriven,AskPrice,km_per_year,post_year,post_month,Transmission_Manual,Owner_second,FuelType_Hybrid/CNG,FuelType_Petrol,Brand_encoded,model_encoded
8.0,69000,3.667,8625.0,2026,11,1,1,0,0,36.539,36.145
9.0,65000,3.607,7222.0,2026,11,1,0,0,1,36.188,36.12
12.0,68900,3.607,5742.0,2026,11,0,1,0,0,36.188,36.298
7.0,68000,3.668,9714.0,2026,11,0,0,0,0,37.081,36.681
9.0,80000,3.607,8889.0,2026,11,0,1,0,1,36.179,35.999
5.0,62000,3.607,12400.0,2026,11,1,0,0,1,36.018,36.146
2.0,55000,3.607,25624.5,2026,11,1,0,0,0,35.975,35.961
9.0,60000,3.607,6667.0,2026,11,1,1,0,1,36.188,36.12
7.0,34000,3.607,4857.0,2026,11,1,0,0,0,36.539,36.353
7.0,49000,3.607,7000.0,2026,11,0,0,0,1,36.247,36.133
8.0,36000,3.607,4500.0,2026,11,1,1,0,1,35.975,36.004
8.0,85000,3.607,10625.0,2026,11,1,1,0,0,36.134,36.091
